model,stage,eval_count,total_s,tok_per_s
qwen3,01_extract,519,18.3,48.9
qwen3,02_gloss,493,13.0,46.3
qwen3,03_critique,526,13.8,45.7
gemma3,01_extract,430,65.0,11.8
gemma3,02_gloss,489,54.5,11.9
gemma3,03_critique,541,58.9,12.0
gemma4,01_extract,2182,94.6,25.7
gemma4,02_gloss,1760,74.3,24.6
gemma4,03_critique,2068,90.5,23.6
magistral,01_extract,7460,612.8,12.7
magistral,02_gloss,1296,116.4,12.4
magistral,03_critique,891,86.3,12.5
gpt_oss,01_extract,1198,25.8,54.6
gpt_oss,02_gloss,1005,20.1,56.5
gpt_oss,03_critique,1097,22.1,56.0
nemotron,01_extract,1166,45.1,50.1
nemotron,02_gloss,845,20.9,49.6
nemotron,03_critique,3090,66.9,48.9
nemotron3,01_extract,1898,190.3,12.3
nemotron3,02_gloss,916,86.1,12.0
nemotron3,03_critique,1320,122.0,11.9
gptoss120,01_extract,1161,73.4,26.1
gptoss120,02_gloss,774,36.2,25.7
gptoss120,03_critique,1051,47.4,25.7
qwen3_dgx,01_extract,487,21.1,35.5
qwen3_dgx,02_gloss,509,17.4,35.1
qwen3_dgx,03_critique,493,17.1,35.2
gptoss20_dgx,01_extract,1023,37.9,37.1
gptoss20_dgx,02_gloss,905,27.7,36.8
gptoss20_dgx,03_critique,4181,125.2,35.6
gemma4_dgx,01_extract,531,57.3,14.2
gemma4_dgx,02_gloss,478,38.8,14.1
gemma4_dgx,03_critique,550,42.4,14.5
